問題,答え,読み
30代のころには渋沢栄一の邸宅を、50代のころには東京駅を設計した、明治時代から対象にかけて活躍した建築家は誰？,辰野金吾,たつの きんご
アニメーション監督の新海誠がかつて勤務していた、『軌跡』シリーズや『イース』シリーズなどのゲームを手がける企業は何？,日本ファルコム,にほんファルコム
イギリス英語では「フルストップ」と呼ばれる、英文の終わりなどに打たれる記号をアメリカ英語で何というでしょう？,ピリオド,ピリオド
シアバターを配合した「シアハンドクリーム」をはじめ多くのハンドケア商品を展開する、ふらんす発祥のブランドは何？,ロクシタン,ロクシタン
ジョー・バイデンの選挙戦撤退をうけ、今年(2024年)行われるアメリカ大統領選挙民主党候補に指名された、現在アメリカ副大統領を務める人物は誰？,カマラ・ハリス,ハリス
最後の段には「つひにゆく」と始まる主人公の男の辞世の句が記されている、平安初期に成立した現存する最古の歌物語は何？,『伊勢物語』,いせものがたり
大平内閣や中曽根内閣で大蔵大臣を務め、首相就任後は消費税の導入を行った、島根県に強固な地盤を築いた政治家は誰？,竹下登,たけしたのぼる
食物連鎖で「生産者」の役割に位置づけられる、自ら有機物を作り出すことのできる生物を「何生物」という？,独立栄養生物,どくりつえいようせいぶつ
明治時代には日本初の本格的なワインの醸造所が設立された、全長120mの大仏で有名な茨城県の市はどこ？,牛久市,うしく
友人との旅の様子を記した『モーターサイクル南米旅行日記』は映画化もされた、カストロ兄弟とともにキューバ革命を主導した活動家は誰？,チェ・ゲバラ,チェ・ゲバラ
審判は両手のこぶしを『いとまきのうた』のように回して示す、バスケットボールで、ボールを持ったまま3歩歩いたときなどにとられる反則は何？,トラベリング,トラベリング
書籍版は90万部以上を売り上げ、YouTube動画は2000万回以上再生されている、2020年にオモコロで公開された雨穴のホラー作品は何？,『変な家』,へんないえ
もともとはオムロンの新規事業としてスタートし、2007年に独立した、プリントシール機の国内シェアでトップを誇る企業は何？,フリュー,フリュー
孫弟子にあたる吉野彰も2019年にノーベル化学賞を受賞した、「フロンティア軌道理論」を提唱し日本人として初めてノーベル化学賞を受賞した化学者は誰？,福井謙一,ふくい けんいち
「クリフトン」や「ホンダイ」などのモデルが人気を集める、トレイルランニングのために生まれた分厚いソールのシューズで知られるブランドは何？,HOKA,ホカ
1話ごとに表示される「いいジャン！」のボタンで作品を評価できる、『怪獣8号』や『SPY×FAMILY』などが連載されている漫画アプリは何？,少年ジャンプ+,ジャンププラス
